City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,hami,42.8,93.45,32.02,13,0,3.46,CN,1686528551
258,champerico,14.3,-91.9167,29.24,73,98,2.91,GT,1686528551
259,alaghsas,17.0187,8.0168,31.05,40,82,3.95,NE,1686528552
260,yurga,55.7231,84.8861,11.47,65,0,1.86,RU,1686528552
261,barguzin,53.6167,109.6167,19.44,65,86,3.33,RU,1686528553
262,richards bay,-28.783,32.0377,15.31,81,0,3.61,ZA,1686528553
263,marsh harbour,26.5412,-77.0636,28.38,73,17,4.85,BS,1686528553
264,uyuni,-20.4597,-66.825,3.08,24,13,6.18,BO,1686528553
265,mathba,22.2855,89.9629,28.69,89,100,2.61,BD,1686528553
266,baise city,23.8997,106.6133,28.07,68,93,0.63,CN,1686528554
267,muynoq,43.7683,59.0214,22.28,48,0,5.17,UZ,1686528476
268,kayangel,8.0823,134.7173,28.58,81,51,5.81,PW,1686528554
269,tughyl,47.7252,84.2063,15.2,69,0,8.99,KZ,1686528554
270,carnarvon,-24.8667,113.6333,15.17,60,0,8.22,AU,1686528555
271,eirunepe,-6.6603,-69.8736,23.53,96,70,1.27,BR,1686528555
272,usinsk,65.9939,57.5281,0.84,83,23,4.13,RU,1686528555
273,kalmunai,7.4167,81.8167,26.49,81,99,3.08,LK,1686528555
274,sandnessjoen,66.0217,12.6316,13.29,90,100,2.68,NO,1686528556
275,nemuro,43.3236,145.575,12.32,98,100,4.8,JP,1686528502
276,truth or consequences,33.1284,-107.2528,33.13,14,20,8.75,US,1686528261
277,bocas del toro,9.3333,-82.25,26.79,76,100,2.67,PA,1686528548
278,egilsstadir,65.2653,-14.3948,12.32,55,68,3.53,IS,1686528556
279,bikenibeu village,1.3673,173.1241,30.98,70,40,2.06,KI,1686528494
280,bonthe,7.5264,-12.505,25.71,86,100,1.68,SL,1686528557
281,yuzhno-kurilsk,44.0306,145.8556,13.46,92,100,4.84,RU,1686528557
282,masterton,-40.9597,175.6575,12.71,74,24,2.54,NZ,1686528557
283,daru,-9.0763,143.2092,26.34,85,100,6.19,PG,1686528557
284,adam,22.3756,57.5233,30.46,40,100,2.0,OM,1686528557
285,zalingei,12.9096,23.4741,23.58,66,99,0.42,SD,1686528558
286,bolanikhodan,22.1,85.3167,28.16,30,82,1.07,IN,1686528547
287,carutapera,-1.195,-46.02,24.2,95,12,2.86,BR,1686528558
288,fisterra,42.9049,-9.2629,16.12,90,13,4.38,ES,1686528515
289,lagos,6.5833,3.75,25.18,88,100,1.4,NG,1686528000
290,new norfolk,-42.7826,147.0587,12.18,82,79,1.32,AU,1686528372
291,nantucket,41.2835,-70.0995,19.03,83,75,2.06,US,1686528366
292,coahuayana de hidalgo,18.7,-103.6583,30.09,60,5,2.57,MX,1686528559
293,al muwayh,22.4333,41.7583,28.87,29,26,4.73,SA,1686528560
